Id,End,Instructors,Name,Platform,Start,Stream,Url
"1","2012-01-07","Andrew Ng","Introduction to Machine Learning","Coursera","2012-23-04","Computer Science","http://jan2012.ml-class.org/"
"2","2012-17-06","Michael Genesereth","Introduction to Logic","Coursera","2012-23-04","Computer Science","https://www.coursera.org/course/intrologic"
"3","2012-10-06","Steve Huffman","CS253 - Web Application Engineering - Building a Blog","Udacity","2012-16-04","Computer Science","http://www.udacity.com/overview/Course/cs253"
"4","2012-24-06","Chuck Eesley","Technology Entrepreneurship",,"2012-16-04","Entrepreneurship","http://eesley.blogspot.com/"
,,,,,,,
