Id,End,ImageUrl,Instructors,Name,Platform,Start,Stream,Url
"7","2012-06-03","http://lh4.ggpht.com/NmHgq22XI-4hx0OwvnB3pljTTTqM-D-vUzK-w1araZg4lmziVamkX-Lr4Sq4SQ35bEnKNxh331BWHSfZHkkw","Sebastian Thrun;David Evans","CS101 - Building a Search Engine","Udacity","2012-04-16","Computer Science","http://www.udacity.com/overview/Course/cs101"
"47","2012-12-09","https://s3.amazonaws.com/coursera/topics/*","Jeremy Adelman","A History of the World since 1300","Coursera","2012-09-17","Humanities and Social Sciences","https://www.coursera.org/course/wh1300"
"8","2012-06-03","http://lh3.ggpht.com/38Q8ciw-5kOTu0LH5eXSMstvUUN2L5AXLIGp9UU1Mb7Jt9Cs2pmbp1RHImk3UQBO19EMhCumco1CR9l_nA","Sebastian Thrun","CS373 - Programming a Robotic Car","Udacity","2012-04-16","Computer Science","http://www.udacity.com/overview/Course/cs373"
"62","2012-08-12","http://lh3.ggpht.com/iDD5AbYQX0US4VM0yPmRXOEyzdm2L8Gm1lABA1GfIpMnuiEU9V5_Ld_L7LkrJnQiyaIDbvP9zNaijS3VvsOT","Michael Littman;Job Evers","CS215 - Algorithms: Crunching Social Networks ","Udacity","2012-06-25","Computer Science","http://www.udacity.com/overview/Course/cs215"
"54","2012-11-11","https://s3.amazonaws.com/coursera/topics/*","Scott E Page","Model Thinking","Coursera","2012-09-01","Complex Systems","https://www.coursera.org/course/modelthinking"
"32","2012-07-22","https://s3.amazonaws.com/coursera/topics/*","Dan Boneh","Cryptography","Coursera","2012-06-11","Computer Science","https://www.coursera.org/course/crypto"
"56","2013-03-15","https://s3.amazonaws.com/coursera/topics/*","Robert Sedgewick","Introduction to Analytic Combinatorics, Part I","Coursera","2013-02-01","Mathematics and Statistics","https://www.coursera.org/course/introACpartI"
"44","2012-10-14","https://s3.amazonaws.com/coursera/topics/*","Andrew Conway","Statistics One","Coursera","2012-09-03","Mathematics and Statistics","https://www.coursera.org/course/stats1"
"39","2012-09-09","https://s3.amazonaws.com/coursera/topics/*","Carol Muller","Listening to World Music","Coursera","2012-07-23","Humanities and Social Sciences","https://www.coursera.org/course/worldmusic"
"10","2012-06-03","http://lh3.ggpht.com/ODg_QbKR_sjKmqxRfU860rusnA5DLdFrXVpmiGhnpDUuHB7w9_7Ydb4wqz-TwYYEEOTl-vgKRWtV4a9RmnE","Wes Weimer","CS262 - Programming Languages - Building a Browser","Udacity","2012-04-16","Computer Science","http://www.udacity.com/overview/Course/cs262"
"31","2012-07-15","https://s3.amazonaws.com/coursera/topics/*","Tim Roughgarden","Design and Analysis of Algorithms I","Coursera","2012-06-11","Computer Science","https://www.coursera.org/course/algo"
"58","2012-08-12","http://lh3.ggpht.com/2MATQCkN-0lXJ07VO2mLf1iZi-OxjL60BN3IpJ1qvokNs3FKGbbrFem3Q9m8sOE_P6iH-_9z7DHFkT0M9ek","Andy Brown;Jonathan Burket","PH100 - Intro to Physics: Landmarks in Physics","Udacity","2012-06-25","Physics","http://www.udacity.com/overview/Course/ph100"
"3","2012-06-03","http://lh3.ggpht.com/_KfXMQlaM0fNl4cRzOeh8RiNdvEwgEwx3ZW4tryBUypXXUI2r4_SSbwPFjM70NGUB2L-n2TY1x-qmBikCQ","Steve Huffman","CS253 - Web Application Engineering - Building a Blog","Udacity","2012-04-16","Computer Science","http://www.udacity.com/overview/Course/cs253"
"38","2012-09-30","https://s3.amazonaws.com/coursera/topics/*","Eric Rabkin","Fantasy and Science Fiction: The Human Mind, Our Modern World","Coursera","2012-07-23","Humanities and Social Sciences","https://www.coursera.org/course/fantasysf"
"2","2012-06-10","https://s3.amazonaws.com/coursera/topics/*","Michael Genesereth","Introduction to Logic","Coursera","2012-04-23","Computer Science","https://www.coursera.org/course/intrologic"
"21","2012-03-25","https://s3.amazonaws.com/coursera/topics/*","Armando Fox;David Patterson","Software Engineering for SaaS","Coursera","2012-02-20","Computer Science","https://www.coursera.org/course/saas"
